Day,Date,Parcels,Collections
5,11-May-2017,875029,38894
6,12-May-2017,795142,39500
7,13-May-2017,705892,26689
1,14-May-2017,105478,0
2,15-May-2017,830014,51295
3,16-May-2017,581204,47434
4,17-May-2017,881923,42745
5,18-May-2017,837337,39402
6,19-May-2017,828739,38880
7,20-May-2017,723108,25795
1,21-May-2017,103376,0
2,22-May-2017,831306,50769
3,23-May-2017,525805,46726
4,24-May-2017,862798,41461
5,25-May-2017,866530,38033
6,26-May-2017,777043,37959
7,27-May-2017,732250,25723
1,28-May-2017,115177,0
3,30-May-2017,1146760,67991
4,31-May-2017,758510,52400
5,1-Jun-2017,922904,44398
6,2-Jun-2017,954903,41725
7,3-Jun-2017,913671,27651
1,4-Jun-2017,113387,0
2,5-Jun-2017,916098,53550
3,6-Jun-2017,692766,50293
4,7-Jun-2017,888278,45121
5,8-Jun-2017,886596,40011
6,9-Jun-2017,856455,35483
7,10-Jun-2017,751836,25593
1,11-Jun-2017,100288,0
2,12-Jun-2017,826917,50014
3,13-Jun-2017,536003,49743
4,14-Jun-2017,871113,42971
5,15-Jun-2017,890988,38008
6,16-Jun-2017,845779,41408
7,17-Jun-2017,752519,26437
1,18-Jun-2017,101098,0
2,19-Jun-2017,759850,45950
3,20-Jun-2017,562039,46490
4,21-Jun-2017,834073,42010
5,22-Jun-2017,841102,37168
6,23-Jun-2017,836869,38758
7,24-Jun-2017,808093,28635
1,25-Jun-2017,105482,0
2,26-Jun-2017,832794,53454
3,27-Jun-2017,597160,49416
4,28-Jun-2017,929058,44244
5,29-Jun-2017,893244,41497
6,30-Jun-2017,880065,40978
7,1-Jul-2017,806503,27155
1,2-Jul-2017,126483,0
2,3-Jul-2017,848929,53195
3,4-Jul-2017,618559,50216
4,5-Jul-2017,879266,44075
5,6-Jul-2017,903181,39810
6,7-Jul-2017,882420,39395
7,8-Jul-2017,804960,26552
1,9-Jul-2017,100642,0
2,10-Jul-2017,831503,51260
3,11-Jul-2017,675111,48729
4,12-Jul-2017,876282,43430
5,13-Jul-2017,965460,40700
6,14-Jul-2017,1015359,41110
7,15-Jul-2017,899878,26754
1,16-Jul-2017,93258,0
2,17-Jul-2017,983761,54696
3,18-Jul-2017,952342,50437
4,19-Jul-2017,955494,44536
5,20-Jul-2017,1015093,40900
6,21-Jul-2017,968507,36335
7,22-Jul-2017,845627,24831
1,23-Jul-2017,114170,0
2,24-Jul-2017,970061,52754
3,25-Jul-2017,725367,48052
4,26-Jul-2017,965958,43477
5,27-Jul-2017,993788,41097
6,28-Jul-2017,936321,44196
7,29-Jul-2017,755635,27656
1,30-Jul-2017,115405,0
2,31-Jul-2017,599893,37754
3,1-Aug-2017,696971,64049
4,2-Aug-2017,983165,47794
5,3-Aug-2017,953891,44253
6,4-Aug-2017,947808,43547
7,5-Aug-2017,875863,27613
1,6-Aug-2017,97868,0
2,7-Aug-2017,924780,55817
3,8-Aug-2017,688259,53119
4,9-Aug-2017,952939,46885
5,10-Aug-2017,865033,42652
6,11-Aug-2017,829684,40131
7,12-Aug-2017,745294,27969
1,13-Aug-2017,96002,0
2,14-Aug-2017,842254,51994
3,15-Aug-2017,619166,48995
4,16-Aug-2017,911475,43586
5,17-Aug-2017,872152,41422
6,18-Aug-2017,845457,40387
7,19-Aug-2017,728640,25845
1,20-Aug-2017,94602,0
2,21-Aug-2017,862298,49506
3,22-Aug-2017,635937,49077
4,23-Aug-2017,1227984,43454
5,24-Aug-2017,1249292,40259
6,25-Aug-2017,1179045,40760
7,26-Aug-2017,796928,26829
1,27-Aug-2017,100750,0
2,28-Aug-2017,20,0
3,29-Aug-2017,1076187,68586
4,30-Aug-2017,900444,52947
5,31-Aug-2017,904010,47176
6,1-Sep-2017,868115,41907
7,2-Sep-2017,769818,26368
1,3-Sep-2017,138194,0
2,4-Sep-2017,895691,54728
3,5-Sep-2017,669873,50187
4,6-Sep-2017,869703,43482
5,7-Sep-2017,856031,42492
6,8-Sep-2017,917212,37752
7,9-Sep-2017,847745,25760
1,10-Sep-2017,96195,0
2,11-Sep-2017,964116,51714
3,12-Sep-2017,728099,50692
4,13-Sep-2017,893351,38454
5,14-Sep-2017,869126,40061
6,15-Sep-2017,873351,38965
7,16-Sep-2017,723794,25637
1,17-Sep-2017,97888,0
2,18-Sep-2017,819300,52269
3,19-Sep-2017,599780,49097
4,20-Sep-2017,909903,47802
5,21-Sep-2017,901426,41445
6,22-Sep-2017,918556,39683
7,23-Sep-2017,816879,26234
1,24-Sep-2017,92988,118
2,25-Sep-2017,927475,53559
3,26-Sep-2017,636243,50137
4,27-Sep-2017,932558,43801
5,28-Sep-2017,1058066,37503
6,29-Sep-2017,1030984,31426
7,30-Sep-2017,888023,0
1,1-Oct-2017,117952,18944
2,2-Oct-2017,980699,62983
3,3-Oct-2017,795267,48713
4,4-Oct-2017,1128734,38510
5,5-Oct-2017,1167911,70236
6,6-Oct-2017,1065532,53111
7,7-Oct-2017,966074,32155
1,8-Oct-2017,120791,0
2,9-Oct-2017,1084933,60279
3,10-Oct-2017,821418,60003
4,11-Oct-2017,1106663,54678
5,12-Oct-2017,986587,46319
6,13-Oct-2017,983027,43897
7,14-Oct-2017,886109,30344
1,15-Oct-2017,112342,0
2,16-Oct-2017,964399,55586
3,17-Oct-2017,710895,53214
4,18-Oct-2017,1048931,47224
5,19-Oct-2017,1048613,43508
6,20-Oct-2017,966151,32540
7,21-Oct-2017,847913,30137
1,22-Oct-2017,92412,0
2,23-Oct-2017,966469,54813
3,24-Oct-2017,745016,56349
4,25-Oct-2017,1012600,47274
5,26-Oct-2017,1105648,42645
6,27-Oct-2017,1067982,49931
7,28-Oct-2017,807743,31048
1,29-Oct-2017,113293,0
2,30-Oct-2017,998658,59659
3,31-Oct-2017,719791,54602
4,1-Nov-2017,1079700,47815
5,2-Nov-2017,1065744,44763
6,3-Nov-2017,1002084,44345
7,4-Nov-2017,943521,30286
1,5-Nov-2017,121251,0
2,6-Nov-2017,1111460,59707
3,7-Nov-2017,1200562,55454
4,8-Nov-2017,1501771,50437
5,9-Nov-2017,1451531,46653
6,10-Nov-2017,1237690,46843
7,11-Nov-2017,1050852,28703
1,12-Nov-2017,110720,0
2,13-Nov-2017,1153777,66394
3,14-Nov-2017,891102,54498
4,15-Nov-2017,1166945,50582
5,16-Nov-2017,1205744,47456
6,17-Nov-2017,1257739,47443
7,18-Nov-2017,1126666,32979
1,19-Nov-2017,119573,0
2,20-Nov-2017,1258719,81218
3,21-Nov-2017,947217,66623
4,22-Nov-2017,1309735,57229
5,23-Nov-2017,1407521,50947
6,24-Nov-2017,1475710,50414
7,25-Nov-2017,1457430,36135
1,26-Nov-2017,1103100,0
2,27-Nov-2017,1490327,75657
3,28-Nov-2017,1145834,70914
4,29-Nov-2017,1417856,63370
5,30-Nov-2017,1481932,56164
6,1-Dec-2017,1538957,53527
7,2-Dec-2017,1469290,36994
1,3-Dec-2017,1211945,0
2,4-Dec-2017,1590109,75865
3,5-Dec-2017,1268775,65873
4,6-Dec-2017,1544209,64724
5,7-Dec-2017,1603040,59707
6,8-Dec-2017,1533496,58999
7,9-Dec-2017,1439392,41341
1,10-Dec-2017,161938,0
2,11-Dec-2017,1548226,76891
3,12-Dec-2017,1264063,70877
4,13-Dec-2017,1455407,64793
5,14-Dec-2017,1469981,59215
6,15-Dec-2017,1488252,59037
7,16-Dec-2017,1458461,40066
1,17-Dec-2017,163072,0
2,18-Dec-2017,1690924,73879
3,19-Dec-2017,1305579,63194
4,20-Dec-2017,1371750,54336
5,21-Dec-2017,1410298,47101
6,22-Dec-2017,1331713,42267
7,23-Dec-2017,861340,27836
1,24-Dec-2017,0,0
2,25-Dec-2017,7727,7603
3,26-Dec-2017,1153,5077
4,27-Dec-2017,867717,29400
5,28-Dec-2017,894769,43442
6,29-Dec-2017,1222014,44147
7,30-Dec-2017,1075279,29895
1,31-Dec-2017,103055,0
2,1-Jan-2018,16249,31258
3,2-Jan-2018,1181527,34380
